CMDLINE python subscriber_async.py
MEM 68.425781 1618060806.8673
MEM 68.425781 1618060806.9675
MEM 68.425781 1618060807.0677
MEM 68.425781 1618060807.1680
MEM 68.425781 1618060807.2682
MEM 68.425781 1618060807.3685
MEM 68.425781 1618060807.4687
MEM 68.425781 1618060807.5689
MEM 68.425781 1618060807.6692
MEM 68.734375 1618060807.7694
MEM 68.734375 1618060807.8696
MEM 68.734375 1618060807.9698
MEM 68.734375 1618060808.0701
MEM 68.734375 1618060808.1703
MEM 68.734375 1618060808.2706
MEM 68.734375 1618060808.3708
MEM 68.734375 1618060808.4710
MEM 68.734375 1618060808.5713
MEM 69.046875 1618060808.6715
MEM 69.046875 1618060808.7717
MEM 69.046875 1618060808.8719
MEM 69.046875 1618060808.9722
MEM 69.046875 1618060809.0724
MEM 69.046875 1618060809.1726
MEM 69.046875 1618060809.2729
MEM 69.046875 1618060809.3731
MEM 69.355469 1618060809.4733
MEM 69.355469 1618060809.5735
MEM 69.355469 1618060809.6738
MEM 69.355469 1618060809.7740
MEM 69.355469 1618060809.8742
MEM 69.355469 1618060809.9745
MEM 69.355469 1618060810.0747
MEM 69.355469 1618060810.1749
MEM 69.667969 1618060810.2752
MEM 69.667969 1618060810.3754
MEM 69.687500 1618060810.4756
MEM 69.687500 1618060810.5758
MEM 69.687500 1618060810.6761
MEM 69.687500 1618060810.7762
MEM 69.687500 1618060810.8765
MEM 69.687500 1618060810.9767
MEM 69.687500 1618060811.0769
MEM 69.976562 1618060811.1771
MEM 69.976562 1618060811.2774
MEM 69.976562 1618060811.3775
MEM 69.976562 1618060811.4778
MEM 69.976562 1618060811.5780
MEM 69.976562 1618060811.6782
MEM 69.976562 1618060811.7784
MEM 69.976562 1618060811.8787
MEM 69.976562 1618060811.9789
MEM 70.289062 1618060812.0792
MEM 70.289062 1618060812.1794
MEM 70.289062 1618060812.2796
MEM 70.289062 1618060812.3799
MEM 70.289062 1618060812.4801
MEM 70.289062 1618060812.5803
MEM 70.289062 1618060812.6805
MEM 70.289062 1618060812.7807
MEM 70.605469 1618060812.8809
MEM 70.605469 1618060812.9811
MEM 70.605469 1618060813.0813
MEM 70.605469 1618060813.1816
MEM 70.605469 1618060813.2818
MEM 70.605469 1618060813.3820
MEM 70.605469 1618060813.4822
MEM 70.605469 1618060813.5825
MEM 70.605469 1618060813.6827
MEM 70.917969 1618060813.7829
MEM 70.917969 1618060813.8832
MEM 70.917969 1618060813.9834
MEM 70.917969 1618060814.0837
MEM 70.917969 1618060814.1839
MEM 69.441406 1618060814.2842
MEM 58.050781 1618060814.3846
